poplifegirl, Mon Jun 08 00:54:21 +0000 2020, -122.804456, 38.540983, Glad to see this. 👏 
hannahkgavin, Mon Jun 08 00:54:24 +0000 2020, -77.157689, 38.854202, “Black Lives Matter” written on a banner should be draped all over “Mr. Jefferson’s University” 
denisewatson08, Mon Jun 08 00:54:29 +0000 2020, -77.604684, 41.117936, Black Lives Matter - that's what BTS and ARMY believe. The $1 million donation from BTS inspired ARMY to… https://t.co/eaCYS4j6tq 
rge2001, Mon Jun 08 00:54:30 +0000 2020, -105.113968, 39.775192, So, vertebrate after all. 
KimEDouglas, Mon Jun 08 00:55:03 +0000 2020, -77.036485, 38.900335, BLM DC March @ Black Lives Matter Plaza https://t.co/32nS5BlpWb 
aidanmurph64, Mon Jun 08 00:55:08 +0000 2020, -9.033307, 51.903863, @MirrorBreaking_ He'll probably claim immunity through royal privelage, this is classic distraction from the black lives matter campaign. 
Janicedeshield1, Mon Jun 08 00:55:20 +0000 2020, -85.058721, 33.039371, All Lives Matter @MittRomney 
_christysmith, Mon Jun 08 00:55:35 +0000 2020, -111.917026, 40.765805, It’s SO refreshing to see a member of the GOP acting on what they believe  in instead of cowering in a corner becau… https://t.co/y7vcvDnrqo 
PCondlin, Mon Jun 08 00:55:57 +0000 2020, -70.509728, 41.353279, Everyone in the mob wanted to kick his white tight ass. After all Dim Mitt’s their nemesis. Mittens made a bundle a… https://t.co/1yadZk4Wsh 
tutubuslatinus, Mon Jun 08 00:56:13 +0000 2020, 150.931975, -33.848244, This Lego model celebrates the printing of ‘Black Lives Matter’ on a Washington DC street by mayor, Muriel Bowser.… https://t.co/sPv6JwwD9P 
DrKhoury, Mon Jun 08 00:56:19 +0000 2020, -73.968542, 40.780709, “This reminds me of what being a Republican with integrity used to mean.” #Romney #MittRomney #TrumpDeathToll100K… https://t.co/SoB2xbs18j 
suffrageulti, Mon Jun 08 00:56:27 +0000 2020, -77.014398, 38.898603, This our favorite Agency. 
